id,name,link
0,Linguine alla Parmigiana,/recipes/linguine-alla-parmigiana/
1,Parmigiano Reggiano and Truffle Tagliolini,/recipes/parmigiano-reggiano-and-truffle-tagliolini/
2,Parmigiano Reggiano; Pumpkin and Porcini Risotto,/recipes/parmigiano-reggiano-pumpkin-porcini-risotto/
3,Gorgonzola Piccante Pizza with Courgettes and Balsamic Onions,/recipes/gorgonzola-piccante-pizza-courgettes-and-balsamic-onions/
4,Gorgonzola Salad with Pistachios and Balsamic Vinaigrette,/recipes/gorgonzola-salad-pistachios-and-tomatoes-aged-balsamic-vinaigrette/
5,Parmigiano Reggiano Pasta Primavera,/recipes/parmigiano-reggiano-pasta-primavera/
6,Baked Parmigiano-Reggiano and Greek Yoghurt Chicken,/recipes/baked-parmigiano-reggiano-and-greek-yoghurt-chicken/
7,Halibut and Prawns with Lemon Thyme and Parmigiano Reggiano Cream Sauce,/recipes/halibut-and-prawns-lemon-thyme-and-parmigiano-reggiano-cream-sauce/
8,Balsamic-Marinated Steak and Unstuffed Mushrooms,/recipes/balsamic-marinated-steak-and-unstuffed-mushrooms-0/
9,Meat and Mushroom Lasagne,/recipes/meat-and-mushroom-lasagna/
10,Tuscan Beef Stew with Polenta,/recipes/tuscan-beef-stew-with-polenta/
11,Bruschetta with Gorgonzola; Balsamic Figs; Mint and Watercress,/recipes/italian-bruschetta-crumbled-gorgonzola-balsamic-figs-mint-and-watercress/
12,Lasagne Rolls,/recipes/lasagna-rolls/
13,Tagliatelle with Smashed Peas; Sausage; and Ricotta Cheese,/recipes/tagliatelle-smashed-peas-sausage-and-ricotta-cheese/
14,Italian Aubergine Gnocchi Bake,/recipes/italian-eggplant-gnocchi-bake/
15,Sausage Lasagne,/recipes/sausage-lasagna-0/
16,Sweet Potato Gnocchi with Maple Cinnamon Sage Brown Butter,/recipes/sweet-potato-gnocchi-maple-cinnamon-sage-brown-butter/
17,Roman-Style Chicken,/recipes/roman-style-chicken/
18,Cioppino,/recipes/cioppino/
19,Grilled Tuscan Chicken,/recipes/grilled-tuscan-chicken/
20,Winter Minestrone,/recipes/winter-minestrone/
21,Easy Bolognese,/recipes/simple-bolognese/
22,Prawns on Couscous,/recipes/scampi-couscous/
23,Italian-Style Burger,/recipes/italian-style-burger/
24,Wild Mushroom Risotto,/recipes/wild-mushroom-risotto/
25,Parmigiano and herb chicken breast tenders,/recipes/parmigiano-and-herb-chicken-breast-tenders/
26,Real Meatballs and Spaghetti,/recipes/real-meatballs-and-spaghetti-674/
27,Baked Rigatoni with Bechamel Sauce,/recipes/baked-rigatoni-bechamel-sauce/
28,Lemon and Garlic Roast Chicken,/recipes/lemon-and-garlic-roast-chicken/
29,Turkey Sausages with Spicy Beans,/recipes/turkey-sausages-spicy-beans/
30,Linguine with Chicken Ragu,/recipes/linguine-chicken-ragu/
31,Pork chops stuffed with sun-dried tomatoes and spinach,/recipes/pork-chops-stuffed-sun-dried-tomatoes-and-spinach/
32,Melanzane Alla Parmigiana (Aubergine Parmesan),/recipes/melanzane-alla-parmigiana-eggplant-parmigiana/
33,Beef and Cannellini Bean Minestrone,/recipes/beef-and-cannellini-bean-minestrone/
34,Chicken Piccata,/recipes/chicken-piccata-0/
35,Quick Italian Tomato Soup,/recipes/quick-and-spicy-tomato-soup/
36,Pasta; pancetta and peas,/recipes/pasta-pancetta-and-peas-0/
37,Italian Sausage and Egg Bake,/recipes/italian-sausage-and-egg-bake/
38,Osso buco,/recipes/osso-buco/
39,Tagliata alla Fiorentina,/recipes/tagliata-alla-fiorentina/
40,Orecchiette with Mini Chicken Meatballs,/recipes/orecchiette-mini-chicken-meatballs/
41,Spinach and Mushroom Ravioli,/recipes/spinach-and-mushroom-ravioli/
42,Braciole,/recipes/braciole/
43,Giant Muffuletta,/recipes/muffuletta/
44,Classic Italian Lasagne,/recipes/classic-italian-lasagne/
45,Butternut Squash Risotto,/recipes/saffron-risotto-butternut-squash/
46,Aubergine and Pasta Incaciata,/recipes/eggplant-and-pasta-incaciata/
47,White Pizza,/recipes/white-pizza/
48,White Bean and Chicken Chili,/recipes/white-bean-and-chicken-chilli-r11277/
